com.samsung.health.exercise,6040047,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,vo2_max,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,e9305729-2f17-4950-8654-bcbc4195abcc.live_data.json,,815.79,,,,,rUH8SYH2sd,662829,56:38.7,e9305729-2f17-4950-8654-bcbc4195abcc,,,,,,,,56:38.7,UTC-0700,1.23077,,,,,,54:10.0,1.4444444,1001,43:07.0,,com.sec.android.app.shealth,,,36.46,,,,
,f22c6b30-8b9a-434a-87bc-950ca8e2b202.live_data.json,,1535.45,,,,,rUH8SYH2sd,1318114,27:01.9,f22c6b30-8b9a-434a-87bc-950ca8e2b202,,,,,,,,27:01.9,UTC-0700,1.1648841,,,,,,15:58.0,1.25,1001,54:00.0,,com.sec.android.app.shealth,,,67.17,,,,
,5281f89e-6005-42b1-8e2e-3a988bedcc2c.live_data.json,,835.26,,,,,rUH8SYH2sd,724249,40:04.7,5281f89e-6005-42b1-8e2e-3a988bedcc2c,,,,,,,,40:04.7,UTC-0700,1.1532774,,,,,,39:04.0,1.2601665,1001,27:00.0,,com.sec.android.app.shealth,,,40.18,,,,
,97a4ba3a-fef0-44c8-9c59-d6f494e007a0.live_data.json,,847.67,,,,,rUH8SYH2sd,749298,03:42.5,97a4ba3a-fef0-44c8-9c59-d6f494e007a0,,,,,,,,03:42.5,UTC-0700,1.1312855,,,,,,02:41.0,1.259,1001,50:12.0,,com.sec.android.app.shealth,,,38.579998,,,,
,380c08d6-b3a2-4ff1-964d-ca8d0494e1d6.live_data.json,,791.33997,,,,,rUH8SYH2sd,669640,24:05.9,380c08d6-b3a2-4ff1-964d-ca8d0494e1d6,,,,,,,,24:05.9,UTC-0700,1.1817394,,,,,,17:16.0,1.2841997,1001,06:07.0,,com.sec.android.app.shealth,,,33.84,,,,
,c00d0547-44d1-4482-a128-6fb89bd1464d.live_data.json,,1097.71,,,,,rUH8SYH2sd,960000,45:34.5,c00d0547-44d1-4482-a128-6fb89bd1464d,,,,,,,,45:34.5,UTC-0700,1.143448,,,,,,43:00.0,1.25,1001,27:00.0,,com.sec.android.app.shealth,,,51.88,,,,
,a8ba4158-644d-4608-b886-56815e119605.live_data.json,,948.35,,,,,rUH8SYH2sd,837567,03:22.3,a8ba4158-644d-4608-b886-56815e119605,,,,,,,,03:22.3,UTC-0700,1.1322676,,,,,,02:05.0,1.3333334,1001,48:07.0,,com.sec.android.app.shealth,,,41.45,,,,
,3ed090ea-4ab5-4fab-b1dc-38de11cb96d0.live_data.json,,875.92,,,,,rUH8SYH2sd,754616,25:38.5,3ed090ea-4ab5-4fab-b1dc-38de11cb96d0,,,,,,,,25:38.5,UTC-0700,1.1607494,,,,,,24:34.0,1.3888888,1001,12:00.0,,com.sec.android.app.shealth,,,42.57,,,,
,5ddde1fc-3a32-4f3f-b857-1fb51e4ccb75.live_data.json,,719.39996,,,,,rUH8SYH2sd,704133,01:42.5,5ddde1fc-3a32-4f3f-b857-1fb51e4ccb75,,,,,,,,01:42.5,UTC-0700,1.0216819,,,,,,01:44.0,1.2503333,1001,50:00.0,,com.sec.android.app.shealth,,,33.19,,,,
,b1383781-a327-4ef4-b7b6-fc3d4729585c.live_data.json,,807.12,,,,,rUH8SYH2sd,679761,06:33.2,b1383781-a327-4ef4-b7b6-fc3d4729585c,,,,,,,,06:33.2,UTC-0700,1.1873584,,,,,,03:26.0,1.3560001,1001,52:07.0,,com.sec.android.app.shealth,,,34.9,,,,
,16800c4e-744d-475b-b6f0-8e701d5ff5f9.live_data.json,,1346.12,,,,,rUH8SYH2sd,1212037,23:17.7,16800c4e-744d-475b-b6f0-8e701d5ff5f9,,,,,,,,23:17.7,UTC-0700,1.1106261,,,,,,14:12.0,1.2222222,1001,54:00.0,,com.sec.android.app.shealth,,,60.16,,,,
,c7d1799a-d94c-4d29-994e-c61a31b962e7.live_data.json,,1017.58,,,,,rUH8SYH2sd,855596,12:05.2,c7d1799a-d94c-4d29-994e-c61a31b962e7,,,,,,,,12:05.2,UTC-0700,1.1893231,,,,,,59:15.0,1.3055556,1001,45:00.0,,com.sec.android.app.shealth,,,44.56,,,,
,8eb8b509-f932-4745-8244-be5707b75ca0.live_data.json,,953.68,,,,,rUH8SYH2sd,875920,08:04.0,8eb8b509-f932-4745-8244-be5707b75ca0,,,,,,,,08:04.0,UTC-0700,1.0887753,,,,,,06:36.0,1.1944444,1001,52:01.0,,com.sec.android.app.shealth,,,42.53,,,,
,d8efbc6e-2fdb-499c-ae9e-277fc855b813.live_data.json,,759.71,,,,,rUH8SYH2sd,695982,13:00.4,d8efbc6e-2fdb-499c-ae9e-277fc855b813,,,,,,,,13:00.4,UTC-0700,1.0915656,,,,,,11:36.0,1.251,1001,00:00.0,,com.sec.android.app.shealth,,,33.28,,,,
,af5ee2fb-ebe7-427a-bd66-de83deb5b307.live_data.json,,823.06,,,,,rUH8SYH2sd,724041,29:34.7,af5ee2fb-ebe7-427a-bd66-de83deb5b307,,,,,,,,29:34.7,UTC-0700,1.1367588,,,,,,27:04.0,1.4722222,1001,15:00.0,,com.sec.android.app.shealth,,,40.47,,,,
,84092371-bf03-4be7-b34b-1893430b9cb7.live_data.json,,867.08997,,,,,rUH8SYH2sd,786329,15:58.9,84092371-bf03-4be7-b34b-1893430b9cb7,,,,,,,,15:58.9,UTC-0700,1.1027063,,,,,,05:06.0,1.5,1001,52:00.0,,com.sec.android.app.shealth,,,39.7,,,,
,10e1f68d-63ac-4a0c-a021-471198228101.live_data.json,,832.13,,,,,rUH8SYH2sd,853878,07:29.2,10e1f68d-63ac-4a0c-a021-471198228101,,,,,,,,07:29.2,UTC-0700,0.9745303,,,,,,06:14.0,1.25,1001,52:00.0,,com.sec.android.app.shealth,,,38.4,,,,
,d7e934dd-e282-4264-aed1-75f87a88a943.live_data.json,,741.4,,,,,rUH8SYH2sd,723715,05:49.5,d7e934dd-e282-4264-aed1-75f87a88a943,,,,,,,,05:49.5,UTC-0700,1.0244365,,,,,,04:04.0,1.5833334,1001,52:00.0,,com.sec.android.app.shealth,,,33.01,,,,
,80e47f3b-b430-46d7-9e80-2ec2db082e46.live_data.json,,933.26,,,,,rUH8SYH2sd,825661,15:05.4,80e47f3b-b430-46d7-9e80-2ec2db082e46,,,,,,,,15:05.4,UTC-0700,1.1303186,,,,,,04:11.0,1.25,1001,50:26.0,,com.sec.android.app.shealth,,,40.3,,,,
,56541f46-09cf-4343-ba2e-cc1ca19224b0.live_data.json,,997.96,,,,,rUH8SYH2sd,984285,40:22.5,56541f46-09cf-4343-ba2e-cc1ca19224b0,,,,,,,,40:22.5,UTC-0700,1.0138934,,,,,,39:24.0,1.4166666,1001,23:00.0,,com.sec.android.app.shealth,,,46.35,,,,
,15936f37-cbc1-452a-89e0-4d3f5164ccc0.live_data.json,,716.27,,,,,rUH8SYH2sd,661360,15:01.3,15936f37-cbc1-452a-89e0-4d3f5164ccc0,,,,,,,,15:01.3,UTC-0700,1.0830258,,,,,,07:01.0,1.3055556,1001,56:00.0,,com.sec.android.app.shealth,,,31.039999,,,,
,361d6d78-f74a-4f74-b598-f30fba1da033.live_data.json,,1057.65,,,,,rUH8SYH2sd,980675,45:33.2,361d6d78-f74a-4f74-b598-f30fba1da033,,,,,,,,45:33.2,UTC-0700,1.0784919,,,,,,34:20.0,1.2222222,1001,18:00.0,,com.sec.android.app.shealth,,,51.38,,,,
,b03ed116-0b16-459e-8b77-ee4449a1819b.live_data.json,,1052.39,,,,,rUH8SYH2sd,915304,14:49.2,b03ed116-0b16-459e-8b77-ee4449a1819b,,,,,,,,14:49.2,UTC-0700,1.1497709,,,,,,11:15.0,1.3333334,1001,56:00.0,,com.sec.android.app.shealth,,,46.45,,,,
,20d6cc56-b78e-4c18-b65b-28721cf7d7f0.live_data.json,,839.91,,,,,rUH8SYH2sd,750378,39:02.1,20d6cc56-b78e-4c18-b65b-28721cf7d7f0,,,,,,,,39:02.1,UTC-0800,1.1193159,,,,,,37:30.0,1.1666666,1001,25:00.0,,com.sec.android.app.shealth,,,39.25,,,,
,baec8621-6417-4ca8-bc90-aa5c5c5ec88e.live_data.json,,1127.71,,,,,rUH8SYH2sd,975285,47:04.6,baec8621-6417-4ca8-bc90-aa5c5c5ec88e,,,,,,,,47:04.6,UTC-0800,1.1562876,,,,,,41:15.0,1.3246666,1001,25:00.0,,com.sec.android.app.shealth,,,52.84,,,,
,96c7bea5-6dbf-407f-95c2-80e401655987.live_data.json,,1574.87,,,,,rUH8SYH2sd,1310727,35:00.2,96c7bea5-6dbf-407f-95c2-80e401655987,,,,,,,,35:00.2,UTC-0800,1.2015241,,,,,,13:12.0,1.3333334,1001,51:22.0,,com.sec.android.app.shealth,,,68.88,,,,
,8d168ccf-f834-47e0-ab94-7808003793ab.live_data.json,,830.18,,,,,rUH8SYH2sd,728765,19:58.8,8d168ccf-f834-47e0-ab94-7808003793ab,,,,,,,,19:58.8,UTC-0800,1.1391602,,,,,,18:08.0,1.1944444,1001,06:00.0,,com.sec.android.app.shealth,,,38.86,,,,
,bddcbe52-7f35-4b17-a4a1-4029dfef58d9.live_data.json,,837.41,,,,,rUH8SYH2sd,654703,42:47.9,bddcbe52-7f35-4b17-a4a1-4029dfef58d9,,,,,,,,42:47.9,UTC-0800,1.2790685,,,,,,38:05.0,1.5339292,1001,27:11.0,,com.sec.android.app.shealth,,,35.9,,,,
